Frame,BodyID,PointID,X_mm,Y_mm,Z_mm,ShoulderOpening_deg,ShoulderInclination_deg,Elbow_deg
12,0,5,137.51,437.43,63.03,63.28,63.99,75.24
12,0,6,59.02,224.99,102.87,63.28,63.99,75.24
12,0,7,-13.36,18.97,137.68,63.28,63.99,75.24
12,0,8,-27.84,-22.23,144.64,63.28,63.99,75.24
12,0,9,-56.79,-104.63,158.57,63.28,63.99,75.24
12,0,10,-79.97,-56.41,114.88,63.28,63.99,75.24
12,0,11,-13.37,431.82,-65.44,63.28,63.99,75.24
12,0,12,-104.05,428.44,-142.65,63.28,63.99,75.24
12,0,13,-245.97,263.35,-68.58,63.28,63.99,75.24
12,0,14,-189.02,476.32,-51.44,63.28,63.99,75.24
12,0,15,-177.63,518.91,-48.01,63.28,63.99,75.24
12,0,16,-154.85,604.1,-41.15,63.28,63.99,75.24
12,0,17,-131.85,549.21,-6.08,63.28,63.99,75.24
12,0,18,75.89,1.16,40.9,63.28,63.99,75.24
12,0,19,61.06,-447.23,75.98,63.28,63.99,75.24
12,0,20,54.12,-846.69,95.63,63.28,63.99,75.24
12,0,21,-4.57,-940.37,205.98,63.28,63.99,75.24
12,0,22,-75.89,-1.16,-40.9,63.28,63.99,75.24
12,0,23,-90.71,-449.54,-5.81,63.28,63.99,75.24
12,0,24,-97.65,-849.0,13.83,63.28,63.99,75.24
12,0,25,-156.34,-942.69,124.19,63.28,63.99,75.24
12,0,26,-41.87,555.45,26.92,63.28,63.99,75.24
12,0,27,-47.14,600.53,33.67,63.28,63.99,75.24
12,0,28,-9.15,637.64,33.78,63.28,63.99,75.24
12,0,29,88.53,632.37,1.76,63.28,63.99,75.24
12,0,30,-49.75,638.46,-3.41,63.28,63.99,75.24
12,0,31,-26.5,634.69,-103.61,63.28,63.99,75.24
12,0,32,71.36,-948.61,65.39,63.28,63.99,75.24
12,0,33,-80.41,-950.92,-16.41,63.28,63.99,75.24
13,0,0,0.0,0.0,0.0,61.95,64.36,75.41
13,0,1,6.09,143.96,-14.07,61.95,64.36,75.41
13,0,2,13.17,287.93,-27.68,61.95,64.36,75.41
13,0,3,20.25,431.89,-41.28,61.95,64.36,75.41
13,0,4,50.35,433.63,-15.66,61.95,64.36,75.41
13,0,5,141.01,436.49,61.81,61.95,64.36,75.41
13,0,6,59.33,224.46,101.76,61.95,64.36,75.41
13,0,7,-16.07,18.78,136.63,61.95,64.36,75.41
13,0,8,-31.15,-22.36,143.6,61.95,64.36,75.41
13,0,9,-61.31,-104.64,157.55,61.95,64.36,75.41
13,0,10,-83.75,-56.02,113.55,61.95,64.36,75.41
13,0,11,-9.78,431.73,-67.04,61.95,64.36,75.41
13,0,12,-100.44,428.86,-144.52,61.95,64.36,75.41
13,0,13,-242.45,263.85,-68.2,61.95,64.36,75.41
13,0,14,-180.61,476.48,-55.08,61.95,64.36,75.41
13,0,15,-168.25,519.01,-52.46,61.95,64.36,75.41
13,0,16,-143.51,604.06,-47.21,61.95,64.36,75.41
13,0,17,-120.85,548.99,-11.76,61.95,64.36,75.41
13,0,18,75.57,0.82,41.08,61.95,64.36,75.41
13,0,19,58.07,-447.32,77.98,61.95,64.36,75.41
13,0,20,50.49,-846.84,96.15,61.95,64.36,75.41
13,0,21,-8.72,-940.84,205.96,61.95,64.36,75.41
13,0,22,-75.57,-0.82,-41.08,61.95,64.36,75.41
13,0,23,-93.08,-448.96,-4.17,61.95,64.36,75.41
13,0,24,-100.66,-848.48,13.99,61.95,64.36,75.41
13,0,25,-159.87,-942.48,123.81,61.95,64.36,75.41
13,0,26,-33.1,557.97,24.49,61.95,64.36,75.41
13,0,27,-36.73,603.28,30.7,61.95,64.36,75.41
13,0,28,2.51,639.06,29.77,61.95,64.36,75.41
